fips,STATE,abbr,pct_debt_collections,pct_debt_collections_wh,pct_debt_collections_nw,median_debt_in_collections,median_debt_in_collections_wh,median_debt_in_collections_nw,pct_w_medical_debt_in_collections,pct_w_medical_debt_in_collections_wh,pct_w_medical_debt_in_collections_nw,pct_student_holders_in_default,pct_student_holders_in_default_wh,pct_student_holders_in_default_nw,auto_retail_loan_delinquency_rate,auto_retail_loan_delinquency_rate_wh,auto_retail_loan_delinquency_rate_nw,credit_card_debt_delinquency_rate,credit_card_debt_delinquency_rate_wh,credit_card_debt_delinquency_rate_nw,median_credit_card_delinquent_debt,median_credit_card_delinquent_debt_wh,median_credit_card_delinquent_debt_nw,pct_poc,avg_household_income,avg_household_income_wh,avg_household_income_nw,,,,,,
USA,USA,,0.31,0.26,0.42,1639,1614,1643,0.16,0.15,0.19,0.13,0.11,0.17,0.04,0.03,0.06,0.04,0.03,0.07,651,678,603,0.39,84524.55,91449.96,70124.88,,,,,,
1,Alabama,AL,0.39,0.34,0.59,1840,1796,1856,0.21,0.18,0.29,0.16,0.13,0.23,0.06,0.05,0.11,0.06,0.05,0.1,546,585,529.5,0.35,66337.35,75300.66,47251.85,,,,,,
2,Alaska,AK,0.29,0.24,0.38,1929,2257,1067,0.16,0.14,0.12,0.16,0.14,0.18,0.03,0.03,0.02,0.04,0.03,0.06,605,686,n<50,0.39,92673.53,101114.12,73691.43,,,,,,
4,Arizona,AZ,0.34,0.26,0.5,1987,1973,1976.5,0.19,0.15,0.25,0.15,0.12,0.23,0.04,0.03,0.08,0.04,0.03,0.07,717,861,607.5,0.45,77450.88,85023.77,63290.16,,,,,,
5,Arkansas,AR,0.39,0.36,0.58,1485,1497,1591,0.22,0.21,0.24,0.15,0.14,0.23,0.04,0.04,0.08,0.05,0.05,0.1,498,505.5,452,0.28,63559.72,67952.29,49701.14,,,,,,
6,California,CA,0.26,0.19,0.31,1595,1555,1586,0.11,0.1,0.12,0.12,0.09,0.15,0.04,0.02,0.05,0.04,0.03,0.05,783,1045,697,0.63,101760.56,118124.34,86880.07,,,,,,
8,Colorado,CO,0.26,0.22,0.44,1736,1768,1468.5,0.15,0.13,0.25,0.11,0.1,0.18,0.02,0.02,0.04,0.03,0.03,0.06,658.5,722.5,453,0.32,92464.62,99475.27,71292.7,,,,,,
9,Connecticut,CT,0.26,0.19,0.45,1416,1454,1265.5,0.12,0.1,0.18,0.1,0.08,0.18,0.02,0.02,0.06,0.04,0.03,0.08,684.5,781.5,565,0.33,107420.03,119438.82,76057.07,,,,,,
10,Delaware,DE,0.33,0.27,0.55,1638,1532,1576.5,0.18,0.15,0.31,0.13,0.1,0.21,0.04,0.03,0.07,0.05,0.04,0.08,660,646,n<50,0.38,86576.52,92827.54,73209.36,,,,,,
11,District of Columbia,DC,0.3,0.09,0.43,1286,690.5,1374,0.1,0.04,0.13,0.12,0.04,0.16,0.05,0.02,0.07,0.04,0.02,0.07,520,n<50,460,0.63,121095.31,181839.58,76958.07,,,,,,
12,Florida,FL,0.34,0.3,0.41,1876,1877,1843,0.2,0.18,0.22,0.13,0.12,0.14,0.04,0.03,0.05,0.05,0.04,0.07,753,813,712,0.46,76053.38,83830.2,63259.42,,,,,,
13,Georgia,GA,0.39,0.33,0.5,1673,1608,1724,0.21,0.19,0.23,0.15,0.11,0.19,0.05,0.04,0.08,0.06,0.04,0.09,571,640.5,534,0.47,79157.38,90752.73,63467.59,,,,,,
