id,state,abbr,autoretdelrate,autoretdelrate_nw,autoretdelrate_wh,autoretdelrate_sub,autoretdelrate_sub_wh,autoretdelrate_sub_nw,autoopen_pct,autoopen_pct_nw,autoopen_pct_wh,autoretopen_pct,autoretopen_pct_nw,autoretopen_pct_nw,poprural_pct,popnonwhite_pct,HHinc_avg,HHinc_avg_nw,HHinc_avg_wh
USA,USA,,.03576,.0568293,.0273664,.1826513,.0123053,.0008945,.3110241,.2714685,.3308435,.3611749,.3247014,.380513,.1926903,.3977581,87864,73435,94972
01,Alabama,AL,.0600355,.1069519,.0495543,.2314164,.0158063,.0011411,.2981621,.2601134,.3097764,.3802527,.3388822,.3923786,.4096318,.3469204,69091,49055,78702
02,Alaska,AK,.0208571,.005618,.0188375,.1355599,.005891,0,.28625,.1403974,.2954965,.3347116,.2357616,.341639,.3398021,.3988593,96080,77081,104992
04,Arizona,AZ,.0363853,.0615797,.0238879,.1716675,.009789,.0007971,.3234288,.3167385,.327729,.3672815,.3655281,.3689867,.1019018,.4569936,80477,66743,87985
05,Arkansas,AR,.0475315,.088488,.0424576,.1994099,.0138575,.0014694,.3403411,.2863636,.3500316,.3932121,.3224432,.404246,.4383968,.2786021,66766,49546,72151
06,California,CA,.0277495,.0352921,.0150831,.162099,.0116527,.0006379,.2817059,.2797111,.2798059,.3228873,.3259293,.3137264,.0504738,.6335551,107384,92375,124240
08,Colorado,CO,.0246247,.0455946,.0196281,.1618729,.0102653,.0005311,.3206255,.3002836,.3229824,.3668086,.348822,.3672216,.1384784,.3224251,96218,76117,103075
09,Connecticut,CT,.0239724,.0588906,.0160186,.1410959,.0167256,.0010004,.3128459,.2375679,.3359775,.3463011,.2713121,.3684677,.1200737,.3372914,111303,77959,124434
10,Delaware,DE,.0332644,.0587544,.0266861,.1641026,.0111008,.0009921,.3380735,.3112267,.3463815,.3854952,.3619419,.3911591,.1670334,.3815933,84896,71994,91356
11,District of Columbia,DC,.0600162,.0817439,.0112045,.2390925,.016317,.0020492,.1845382,.2198347,.1373602,.2262591,.2648301,.1597315,0,.630765,124946,79036,191228
12,Florida,FL,.0350124,.0477873,.0277034,.1567803,.0138056,.0013361,.3223066,.3001719,.3350126,.363033,.3379347,.3782397,.0883697,.4673887,79968,66488,88508
13,Georgia,GA,.0511375,.0718616,.0396147,.1917817,.0127553,.0008317,.3025918,.2839974,.3206718,.3661004,.3459609,.3859168,.2493382,.4777492,82489,66241,94765
15,Hawaii,HI,.0324845,.0347323,.0232558,.2085714,.0106914,.0002078,.2497061,.2515478,.275,.3253459,.3286721,.35,.0807263,.7829096,103162,100374,109934
16,Idaho,ID,.0234039,0,.0228593,.1539432,.0067253,.000262,.3320935,.3181818,.3351343,.3924548,.4090909,.3951634,.2942187,.1822731,73369,60588,75372
17,Illinois,IL,.0350042,.0651144,.0275345,.1881063,.0109104,.0007976,.2960172,.2510355,.3194799,.34326,.3029687,.3666356,.1151213,.390889,91424,72297,100632
18,Indiana,IN,.034494,.0761384,.030181,.1739594,.0081908,.0005111,.3265465,.285749,.3340974,.3803955,.3278708,.3893686,.2755639,.2130333,73733,56730,77392
19,Iowa,IA,.0203624,.0434783,.0197545,.1426195,.0077166,.0004611,.3357565,.2236025,.3381903,.3841082,.2795031,.3865159,.3598067,.1459255,77173,59679,79183
20,Kansas,KS,.0249511,.0429836,.0216785,.1559554,.0048616,.0005802,.3010392,.2299139,.3072587,.347973,.2794118,.3545357,.2580184,.24378,78972,61595,83132
