"county","id","abbr","state","state_id","medcoll","medcoll_com_col","medcoll_white","nohealthinsurance","nohealthinsurance_white","nohealthinsurance_com_col","medcollpos_p50","medcollpos_p50_com_col","medcollpos_p50_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"Autauga County","01001","AL","Alabama","01",".1275766","n/a*",".1242673",".9907069",".9906611",".9908407","878","n/a*","878",".2539726","75326","50809","82971"
"Baldwin County","01003","AL","Alabama","01",".0965703","n/a**",".0969996",".9908115",".9907144",".9912895","790","n/a**","790",".169276","81449","47333","86522"
"Barbour County","01005","AL","Alabama","01",".1060209",".1153846",".1454545",".9911319",".9908003",".9914257","1122","n/a*","n/a*",".541895","47068","31673","63382"
"Bibb County","01007","AL","Alabama","01",".2222222","n/a**",".2398524",".9910668",".9908965",".9916545","794","n/a**","794",".2547459","60182","40249","65273"
"Blount County","01009","AL","Alabama","01",".1397849","n/a*",".1392978",".9910764",".9908648",".9924953","953","n/a*","953",".1310657","65639","49595","67146"
"Bullock County","01011","AL","Alabama","01",".1587302",".1645022","n/a*",".9911373",".9910469",".9911607","n/a*","n/a*","n/a*",".7862022","48571","39215","80344"
"Butler County","01013","AL","Alabama","01",".1223833","n/a*",".1639344",".990867",".9905488",".9912022","586","n/a*","n/a*",".4839621","55971","40049","68198"
"Calhoun County","01015","AL","Alabama","01",".2185838","n/a**",".1912547",".9911055",".9909269",".9915465","1022","n/a**","939",".2792755","61137","39105","69780"
"Chambers County","01017","AL","Alabama","01",".1090008","n/a*",".1138211",".9910312",".990846",".9912625","426","n/a*","479",".4445336","53505","45986","59318"
"Cherokee County","01019","AL","Alabama","01",".2102628","n/a**",".2102628",".9908648",".9908482",".9910542","780","n/a**","780",".0827703","57617","43107","58700"
"Chilton County","01021","AL","Alabama","01",".2265415","n/a*",".2280702",".9912992",".991063",".9922536","1135","n/a*","1135",".1986835","62784","47591","65857"
"Choctaw County","01023","AL","Alabama","01",".107438",".1759259",".0790698",".9910339",".9905988",".9915934","n/a*","n/a*","n/a*",".4362089","52395","36665","64098"
"Clarke County","01025","AL","Alabama","01",".1039326","n/a*",".0921986",".9909675",".9906462",".9913251","932","n/a*","n/a*",".4728117","54687","39235","66439"
"Clay County","01027","AL","Alabama","01",".16141","n/a**",".1568628",".9910343",".9909758",".9912744","516","n/a**","488",".196446","57585","41044","61198"
"Cleburne County","01029","AL","Alabama","01",".2099567","n/a**",".2086957",".9912269",".9911434",".9923269","596","n/a**","584",".0730759","57990","48760","58698"
"Coffee County","01031","AL","Alabama","01",".1433081","n/a**",".1444445",".9909759",".9908112",".9913575","1290","n/a**","1290",".2985366","70079","52097","76975"
"Colbert County","01033","AL","Alabama","01",".2084964","n/a**",".209276",".9907211",".9906536",".9909631","834","n/a**","837",".2180168","60904","42998","65431"
"Conecuh County","01035","AL","Alabama","01",".1986755",".2077922",".1714286",".9912681",".991138",".9913987","708","n/a*","n/a*",".4995159","47286","40122","54421"
