"id","state","abbr","medcoll","medcoll_com_col","medcoll_white","medcollpos_p50","medcollpos_p50_com_col","medcollpos_p50_white","nohealthinsurance","nohealthinsurance_com_col","nohealthinsurance_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"USA","USA",NA,".1260894",".1465912",".1148144","703","739","678",".0917263",".1356164",".0625231",".4004701","92324","77794","99572"
"01","Alabama","AL",".1640561",".2343054",".1468894","851","961","810",".0972317",".1264151",".0816685",".3487998","71478","53281","80290"
"02","Alaska","AK",".0387795",".0431461",".0345229","456","308","463",".1221173",".1721639",".0880996",".4016581","98504","81446","106530"
"04","Arizona","AZ",".1240148",".1616465",".1007378","719","777","680",".1128459",".1701268",".0643042",".4601778","84438","70244","92363"
"05","Arkansas","AR",".1778295",".2163531",".1697937","561","572","550",".0914637",".1414789",".0721458",".2802942","68219","53683","72910"
"06","California","CA",".0775829",".0851",".0646578","712","735","664",".0769791",".097763",".0405157",".6366674","113563","98231","131061"
"08","Colorado","CO",".1096287",".1858869",".0909368","693","596","715",".0800599",".1283821",".0569956",".3248294","103518","80549","111482"
"09","Connecticut","CT",".0952031",".1385558",".0769399","490","510","455",".0589502",".1001515",".0374462",".3437653","114630","82830","127242"
"10","Delaware","DE",".1626036",".2822967",".126192","706","835","639",".065633",".0925106",".0487299",".3869141","92445","74765","101394"
"11","District of Columbia","DC",".0606075",".0872295",".0300501","599","629","531",".0351795",".0473822",".0147414",".6271295","135369","87618","199025"
"12","Florida","FL",".1436702",".1527567",".1306658","915","927","885",".1316055",".1715283",".0962669",".4702209","83883","70159","92735"
"13","Georgia","GA",".1733211",".1991069",".158974","855","838","856",".1341428",".1685135",".1023409",".4817805","86468","69106","99937"
"15","Hawaii","HI",".0499261",".0503025",".0341463","339","333","n/a*",".041568",".0406501",".0451219",".7845709","106247","103385","113625"
"16","Idaho","ID",".1114999",".2293578",".1084456","809","n/a*","825",".1083312",".1831686",".0915412",".184122","78975","65767","81127"
"17","Illinois","IL",".1358075",".1988626",".1149606","641","645","641",".073932",".1157885",".0469812",".3930643","95725","76467","105019"
"18","Indiana","IN",".1599449",".2529332",".1491489","748","736","753",".0872251",".1240184",".0770858",".2168603","78064","61051","81773"
"19","Iowa","IA",".0887486",".1464968",".0851374","526","n/a*","528",".0501498",".112884",".039215",".1490835","80267","60664","82801"
"20","Kansas","KS",".1676568",".2901269",".1489464","849","760","831",".0920083",".1759556",".0649578",".2460528","82270","63114","86892"
"21","Kentucky","KY",".1711074",".3699865",".1648729","491","570","479",".0644401",".104242",".0570777",".1577944","72215","61002","73969"
"22","Louisiana","LA",".1806395",".2211275",".1637354","726","733","710",".0890486",".1168794",".0693819",".4175453","72658","53667","84256"
"23","Maine","ME",".1545627","n/a*",".1545556","825","n/a*","827",".0802464",".1090886",".0780335",".0717841","78303","70854","78682"
"24","Maryland","MD",".1037421",".1316582",".0902717","508","552","470",".0600135",".0899435",".0298962",".5017963","114089","97091","127759"
"25","Massachusetts","MA",".0403454",".0626241",".0362462","408","451","385",".0299194",".045483",".0233473",".2968931","117482","91722","125734"
"26","Michigan","MI",".1262691",".1850441",".1171027","440","443","439",".0578107",".0788773",".0507367",".2533165","80681","63875","85412"
"27","Minnesota","MN",".0241599",".0396233",".023106","418","427","418",".0488479",".0991989",".0354484",".2105978","96995","77538","100444"
"28","Mississippi","MS",".160184",".1974978",".1425498","719","811","690",".1297496",".1559708",".1095517",".4370161","65081","48053","77009"
"29","Missouri","MO",".1636721",".3099481",".14628","767","930","727",".1002716",".1336088",".0915694",".2090498","77885","61275","81602"
"30","Montana","MT",".1104992",".2660754",".1046587","702","742","696",".0827042",".1686333",".0686937",".1424309","77320","57384","79694"
"31","Nebraska","NE",".0607809",".0998249",".054645","653","530","654",".0829336",".1798551",".0563784",".2164238","82539","61357","86570"
"32","Nevada","NV",".1590844",".194045",".1289221","806","750","903",".1142238",".1527054",".0722296",".5215869","86946","73810","96754"
"33","New Hampshire","NH",".0621062","n/a**",".0619608","500","n/a**","499",".0625487",".1149096",".0565591",".1034367","100882","102566","100751"
"34","New Jersey","NJ",".11027",".1662821",".0823435","472","490","454",".0788905",".1270371",".0385401",".4567932","119301","98631","133114"
"35","New Mexico","NM",".1609344",".1792287",".1035678","700","685","711",".0996426",".124769",".0562741",".6324555","71591","60713","84313"
"36","New York","NY",".0556699",".0518332",".0589911","456","422","470",".0523884",".0779959",".0315471",".4494312","107355","86609","120624"
"37","North Carolina","NC",".2029009",".2646872",".1794936","742","738","758",".1125642",".1643754",".0815876",".3752788","80037","61717","88975"
"38","North Dakota","ND",".0685091",".1279863",".0666096","629","532","636",".0689679",".1714851",".0491113",".1636166","85551","62689","89017"
"39","Ohio","OH",".1494514",".2058358",".1419283","607","654","598",".0658068",".0937899",".0581539",".216563","79505","58996","84414"
"40","Oklahoma","OK",".2145801",".3215358",".1972798","893","1003","864",".1427902",".2091944",".1071036",".35102","75537","60294","81806"
"41","Oregon","OR",".0478134",".1164021",".0451863","599","n/a*","608",".0717173",".1184977",".0560948",".2510301","88449","81905","89951"
"42","Pennsylvania","PA",".0935524",".1340935",".0880509","500","527","498",".057686",".0842807",".0492248",".2438239","87789","68511","92586"
"44","Rhode Island","RI",".0510619",".0659871",".0470865","526","430","574",".0409292",".0776996",".0256716",".2919534","92553","69762","99206"
"45","South Carolina","SC",".2225539",".2826339",".1989735","860","790","917",".1084807",".146666",".0867898",".3645409","78188","55622","89098"
"46","South Dakota","SD",".0316888",".0828729",".0295455","682","943","651",".1018523",".2624335",".0660765",".1849741","77650","56868","80717"
"47","Tennessee","TN",".17627",".2120826",".1739338","888","836","921",".1014459",".1572285",".0813101",".2668642","78035","60887","83266"
"48","Texas","TX",".1881915",".2090381",".1708233","835","890","814",".1835548",".2379538",".1057238",".5885772","89681","72057","108320"
"49","Utah","UT",".1224023",".2265701",".1142577","980","834","990",".0965444",".1999482",".0669881",".2231202","96415","74879","101025"
"50","Vermont","VT",".0471082","n/a**",".0464868","482","n/a**","475",".0448837",".0848471",".041631",".0754773","83015","63075","84241"
"51","Virginia","VA",".1442176",".204054",".1291853","690","790","654",".0792765",".1201866",".0533415",".3892926","105091","90056","112673"
"53","Washington","WA",".049685",".0622231",".0442121","551","448","542",".0661621",".1103272",".0448277",".3267543","105775","98550","108277"
"54","West Virginia","WV",".2396552","n/a*",".2395938","553","n/a*","553",".0667653",".0789656",".0657578",".0796134","65842","62101","66089"
"55","Wisconsin","WI",".1135481",".2408777",".1022038","943","854","963",".0571433",".1225295",".0418",".1919859","82899","61496","86459"
"56","Wyoming","WY",".1677527",".4392523",".1651928","1515","n/a*","1520",".1231465",".2423802",".1000653",".1630316","83155","68390","85203"
