"county","id","abbr","state","state_id","totcoll","totcoll_com_col","totcoll_white","totcollpos_p50","totcollpos_p50_com_col","totcollpos_p50_white","medcoll","medcoll_com_col","medcoll_white","stdcollofstdtot","stdcollofstdtot_com_col","stdcollofstdtot_white","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","carddelrate","carddelrate_com_col","carddelrate_white","carddelpos_p50","carddelpos_p50_com_col","carddelpos_p50_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"Autauga County","01001","AL","Alabama","01",0.2997214,0.5081967,0.2915691,1847.5,NA,1871.5,0.1275766,0.2131148,0.1229508,0.1021127,NA,0.0929368,0.0634218,NA,0.0642633,0.0469667,NA,0.0447154,NA,NA,NA,0.2690293,79497.56,59924.12,86069.9
"Baldwin County","01003","AL","Alabama","01",0.2353732,NA,0.2349094,1985.5,NA,2001.5,0.0965703,NA,0.0968797,0.0951914,NA,0.0931615,0.0428429,NA,0.0426175,0.0301291,NA,0.0302528,300,NA,290.5,0.1782452,87234.06,65210.4,90904.8
"Barbour County","01005","AL","Alabama","01",0.3507853,NA,0.2727273,1705.5,NA,NA,0.1060209,NA,0.1454545,0.1012658,NA,NA,0.0868167,NA,NA,0.0530504,NA,NA,NA,NA,NA,0.5539016,55066.45,36577.48,73941.9
"Bibb County","01007","AL","Alabama","01",0.4174603,0.5340909,0.398524,1444,NA,1399,0.2222222,0.1136364,0.2398524,0.0606061,NA,0.0701754,0.1048689,NA,0.0917031,0.07,NA,0.0646388,NA,NA,NA,0.2595038,67395.92,46330.31,73267.97
"Blount County","01009","AL","Alabama","01",0.3016412,NA,0.3012457,1790,NA,1770,0.1397849,NA,0.1392978,0.1371429,NA,0.1371429,0.0407876,NA,0.0407876,0.0497788,NA,0.0497788,NA,NA,NA,0.1407683,71848.8,56594.48,73629.93
"Bullock County","01011","AL","Alabama","01",0.4880952,0.4978355,NA,1642,1682,NA,0.1587302,0.1645022,NA,NA,NA,NA,0.125,0.12,NA,0.0869565,0.0980392,NA,NA,NA,NA,0.7962642,46257.15,34839.86,81310.95
"Butler County","01013","AL","Alabama","01",0.3719807,NA,0.3296703,1298,NA,780,0.1223833,NA,0.1208791,0.109375,NA,NA,0.1176471,NA,0.1014493,0.0716846,NA,0.037037,NA,NA,NA,0.4907982,63861.78,46903.33,77288.97
"Calhoun County","01015","AL","Alabama","01",0.3943465,NA,0.351382,1934,NA,1899.5,0.2185838,NA,0.1908368,0.0943396,NA,0.0884146,0.0936849,NA,0.0755232,0.0541619,NA,0.0486409,435,NA,425.5,0.2975115,59139.94,56666.07,59995.13
"Chambers County","01017","AL","Alabama","01",0.3955409,NA,0.3821138,1337,NA,1349,0.1090008,NA,0.1138211,0.0769231,NA,0.0365854,0.0793651,NA,0.0636704,0.050505,NA,0.0516717,NA,NA,NA,0.4518287,59993.1,51632.78,65760.05
"Cherokee County","01019","AL","Alabama","01",0.3804756,NA,0.3811321,1569.5,NA,1560,0.2102628,NA,0.2100629,0.1060606,NA,0.1060606,0.0636943,NA,0.0638978,0.0478723,NA,0.048,NA,NA,NA,0.0906507,63491.51,50348.67,64597.04
"Chilton County","01021","AL","Alabama","01",0.3847185,NA,0.3847185,1932,NA,1932,0.2265415,NA,0.2265415,0.1,NA,0.1,0.0923825,NA,0.0923825,0.0492958,NA,0.0492958,NA,NA,NA,0.2073255,68497.17,51239.07,72539.36
